wl	n
0.40000	5.49655367
0.40129	5.46398556
0.40260	5.43216362
0.40391	5.40104480
0.40523	5.37058491
0.40656	5.34074911
0.40789	5.31150336
0.40924	5.28282022
0.41060	5.25467343
0.41196	5.22704472
0.41333	5.19990946
0.41472	5.17325677
0.41611	5.14707142
0.41751	5.12133847
0.41892	5.09605564
0.42034	5.07121140
0.42177	5.04679474
0.42321	5.02280809
0.42466	4.99924027
0.42612	4.97608308
0.42759	4.95334228
0.42907	4.93101082
0.43056	4.90906857
0.43206	4.88753990
0.43357	4.86639299
0.43509	4.84563695
0.43662	4.82526725
0.43816	4.80527106
0.43972	4.78564762
0.44128	4.76639076
0.44286	4.74749319
0.44444	4.72895467
0.44604	4.71076073
0.44765	4.69290036
0.44928	4.67538222
0.45091	4.65817999
0.45255	4.64129693
0.45421	4.62473027
0.45588	4.60846049
0.45756	4.59248933
0.45926	4.57680725
0.46097	4.56140129
0.46269	4.54627207
0.46442	4.53140516
0.46617	4.51679289
0.46792	4.50243870
0.46970	4.48832174
0.47148	4.47444422
0.47328	4.46079640
0.47510	4.44737215
0.47692	4.43416631
0.47876	4.42116793
0.48062	4.40837629
0.48249	4.39578565
0.48438	4.38338709
0.48627	4.37117508
0.48819	4.35914888
0.49012	4.34729842
0.49206	4.33562074
0.49402	4.32411590
0.49600	4.31277170
0.49799	4.30159046
0.50000	4.29056310
0.50202	4.27968904
0.50407	4.26896850
0.50612	4.25838742
0.50820	4.24794752
0.51029	4.23765084
0.51240	4.22748549
0.51452	4.21745384
0.51667	4.20755738
0.51883	4.19777973
0.52101	4.18813383
0.52321	4.17860654
0.52542	4.16919300
0.52766	4.15990427
0.52991	4.15073183
0.53219	4.14166418
0.53448	4.13271455
0.53680	4.12386794
0.53913	4.11513073
0.54148	4.10649934
0.54386	4.09796553
0.54626	4.08953852
0.54867	4.08121076
0.55111	4.07297592
0.55357	4.06484368
0.55605	4.05680234
0.55856	4.04885282
0.56109	4.04099721
0.56364	4.03322913
0.56621	4.02555365
0.56881	4.01796543
0.57143	4.01045897
0.57407	4.00304321
0.57674	3.99570543
0.57944	3.98845168
0.58216	3.98128065
0.58491	3.97418900
0.58768	3.96717503
0.59048	3.96023834
0.59330	3.95337790
0.59615	3.94659614
0.59903	3.93988570
0.60194	3.93324877
0.60488	3.92668723
0.60784	3.92019585
0.61084	3.91377177
0.61386	3.90742347
0.61692	3.90113529
0.62000	3.89492254
0.62312	3.88877441
0.62626	3.88268901
0.62944	3.87667294
0.63265	3.87071783
0.63590	3.86482478
0.63918	3.85899898
0.64249	3.85323424
0.64583	3.84752472
0.64921	3.84188041
0.65263	3.83629749
0.65608	3.83076667
0.65957	3.82529800
0.66310	3.81988520
0.66667	3.81452943
0.67027	3.80922861
0.67391	3.80398424
0.67760	3.79879119
0.68132	3.79365597
0.68508	3.78857059
0.68889	3.78354027
0.69274	3.77855917
0.69663	3.77363041
0.70056	3.76875225
0.70455	3.76392244
0.70857	3.75914519
0.71264	3.75441421
0.71676	3.74973104
0.72093	3.74509751
0.72515	3.74050853
0.72941	3.73596847
0.73373	3.73147441
0.73810	3.72702204
0.74251	3.72261895
0.74699	3.71825562
0.75152	3.71393628
0.75610	3.70966467
0.76074	3.70543126
0.76543	3.70123990
0.77019	3.69709679
0.77500	3.69298951
0.77987	3.68892683
0.78481	3.68490672
0.78981	3.68092201
0.79487	3.67698195
0.80000	3.67308189
0.80519	3.66921634
0.81046	3.66539382
0.81579	3.66160975
0.82119	3.65786074
0.82667	3.65415325
0.83221	3.65048148
0.83784	3.64684531
0.84354	3.64324697
0.84932	3.63968344
0.85517	3.63615667
0.86111	3.63266622
0.86713	3.62920853
0.87324	3.62578805
0.87943	3.62240212
0.88571	3.61904844
0.89209	3.61572935
0.89855	3.61244565
0.90511	3.60919418
0.91176	3.60597586
0.91852	3.60278914
0.92537	3.59963648
0.93233	3.59651571
0.93939	3.59342525
0.94656	3.59037013
0.95385	3.58734327
0.96124	3.58434879
0.96875	3.58138460
0.97638	3.57845184
0.98413	3.57555087
0.99200	3.57267745
1.0000	3.56983496
1.0081	3.56702387
1.0164	3.56424075
1.0248	3.56148689
1.0333	3.55876437
1.0420	3.55606924
1.0508	3.55340203
1.0598	3.55076680
1.0690	3.54815622
1.0783	3.54557561
1.0877	3.54302605
1.0973	3.54049869
1.1071	3.53800265
1.1171	3.53553474
1.1273	3.53309064
1.1376	3.53067659
1.1481	3.52829067
1.1589	3.52592852
1.1698	3.52359705
1.1810	3.52129000
1.1923	3.51901068
1.2039	3.51675803
1.2157	3.51453131
1.2277	3.51233166
1.2400	3.51015827
1.2525	3.50801037
1.2653	3.50588804
1.2784	3.50379358
1.2917	3.50172508
1.3053	3.49968080
